Pato|Pues muy bien, la justicia es igual para todos.
ErPere|Perfecto, que pague su multa por el fraude Fiscal y punto, a diferencia de los del PSOE la gente sensata no empieza que si bulos, que si fango que si extremaIzquierda etc... es un señor que ha cometido un delito fiscal con Hacienda antes de conocer a Ayuso y que como cualquier ciudadano tendrá que pagar por su falta. Ahora... no empezar los de siempre a comparar esto con los casos de corrupción del gobierno y trafico de influencias pues para cualquier persona con dos dedos de frente y sin estar adoctrinado no tiene nada que ver una cosa con la otra.
N0RL|@ElKillerlaMuerte #97 Cerrar @ N0RL # 53 Pues yo a partir de ahora cuando me eche pareja, le voy a pedir la declaración de la renta y demás antes de nada, que luego te largan todos los muertos de tu pareja aunque no estés casado ni nada parecido. No sabes ni por lo que le investigan que no es la declaración de la renta. Ese es tu nivel.
MalditosRoedores|Es normal que la fiscalía que ofrezca un pacto al contribuyente para pagar menos y evitar el juicio, lo sorprendente en este caso es la retirada de la oferta del pacto, nunca ocurre y además por órdenes superiores. Porque además la AEAT pierde aproximadamente la mitad de los pleitos en los tribunales, que se le pregunten al actual entrenador del Real Madrid, por ejemplo; lo aberrante de esos pactos es que al acusado se le obliga a declarase culpable pero no se le aplica las leyes vigentes, paga una cantidad y no entra en la carcel, como el caso de Shakira que pagó 14 millones. No estoy diciendo que sea el mismo caso de Gonzalez que el de X. Alonso y Shakira.
Madison|@Juanfelipe #84 Cerrar Por supuesto que Sánchez tendría que dimitir (por ética, imagen) si condenaran a su mujer aunque Sánchez no supiera lo que ella hacía. Y Ayuso también ha de dimitir si condenaran a su pareja Dice usted que Ayuso tiene que dimitir por un asunto privado de su actual novio, ciudadano particular, cuando los hechos se remontan a una época en la que ni siquiera eran pareja... Y de paso nos olvidamos de las filtraciones y de la curiosa nanera que tiene Sánchez de intentar hundir a su máxima rival política, haciendl uso del poder que tiene como presidente del gobierno.
Juanfelipe|@Javierlec #94 Cerrar @ Juanfelipe # 84 Aunque en un caso los hechos que se juzgan se cometieran antes de ser pareja y en el otro se cometieron, precisamente, gracias a que es la pareja? No cree que hay una diferencia importante? Ya consteté, pero bueno otra vez porque no ha salido, y sí, sí estaban juntos, los delitos fueron con la presentación de las declaraciones en julio de 2021 y julio de 2022, y estaban juntos desde mayo de 2021. Con indepencia de eso, la dimisión es que sería por ética, imagen, ejemplo
EduCalleja|@No_voto_a_nadie #70 Cerrar Si eres político y condenan a un familiar tuyo, creo que deberías dimitir. Esto vale para Ayuso y para todos. Ya dimitió Alfonso Guerra sin que llegaran a condenar a su hermano, así que, si hay condena, hay incluso más razones para dimitir. cuando se cometieron los hechos que ahora se van a juzgar, ni siquiera se conocían Ayuso y Glez Amador. Juan Guerra era el hermano de Alfonso, vicepresidente del gobierno. Y Begoña es la esposa del presidente del gobierno y se valió de esa condición y de recursos públicos para sus negocios privados. Nada que ver.
rafatoni|@N0RL #53 Cerrar @ Supernova # 26 cambia tus fuentes. Ayuso y el defraudador confeso que se sepa, llevan desde mayo de 2021. Los ejercicios fiscales por lo que se le imputan son, el ejercicio 2020, la presentación de la liquidación del impuesto se realiza en el año 2021 ( ya estaban ) y la liquidación del ejercicio 2021 se presenta en el año 2022 ( llevaban que se sepa un año ). Además, la regularización extemporánea intentado regularizar lo mal hecho ( eso que dijo ella desde un atril de la CM que hacienda le debía 600.000) corresponde al ejercicio 2022 y se presenta en el año 2023 ( seguían estando juntos ). Y siguen. , pretende usted hacer creer lo que no es, es decir la influencia de IDA en lo realizado por su novio. En primer lugar se trata de un Impuesto estatal donde Ayuso no puede tener ninguna influencia, puesto que gobierna Pedro Sánchez. Luego, el ejercicio 2020 se cierra el 31​/12 de ese año, aunque se liquide en 2021, y luego la regularización se hace del 2022 y obviamente se hace en el 2023 que es cuando se liquida. Y por último a cualquier empresa que reconozca y pretenda hacer una regularización de la situación fiscal anomala y deposite su importe, excepto si no se está de acuerdo con la liquidación, se da por liquidada, excepto en este caso. De todas las formas IDA no tiene nada que ver con ello, ni su novio se puede aprovechar de su situación política puesto que como he dicho es un impuesto estatal
MalditaPandemia|Veo que muchos siguen con el mantra que los supuestos delitos de Amador fueron antes de la relacion con isabel, y no es verdad, el supuesto delito por el que está imputado fue en 2021 y ya estaban juntos. Buen dia
ADELE_|@Juan_Sorribes #85 Cerrar @ ADELE_ # 56 Noticia: HECHO RELEVANTE DE INTERÉS GENERAL. ¿Qué interés general tiene que ese señor tenga que responder por sus negocios privados ante hacienda? Cierto que, como se puede comprobar leyendo cualquier medio, los periodistas han olvidado el oficio y la ética que va con el, pero aún así... Arrástrese más para defender a un defraudador fiscal hombre, que hay barra libre.
da_igual_8_que_80|estaba claro, por que el circo que se estaba montando para cubrir al tipo este no era normal. pobre particular.
PTdP|no sería más normal que la noticia hablase de González Amador y no del "novio de Ayuso"? En otros casos, todos sabemos quién es Begoña
Gandolfini|Anda ! Ha subido bastante en la portada y las letras son un poco más grandes....hace media hora había que llegar hasta el horóscop para leerlo
ADELE_|@Juan_Sorribes #88 Cerrar @ ADELE_ # 58 Lo cual es perfectamente irrelevante, salvo para sectarios o id i otas. ¿Hizo algún negocio con la Comunidad de Madrid gracias a su novia? ¿Hay dinero público afectado? ¿Tráfico de influencias? No, ¿verdad? Hay un empresario que se deduce lo que no debe y que cuando tiene un pacto ya negociado con Hacienda, que le obliga a declararse culpable, como es habitual, alguien descubre quién es su novia, lo para y en 24 horas lo manda a los tribunales. Lo normal es que se firme un pacto porque Hacienda pierde casi el 60% de estos pleitos, pero oye ¿vas a dejar la oportunidad de atacar a un tipo porque odias a su novia? Y también es irrelevante que Ayuso mintiese a todos los españoles diciéndoles que no había fraude fiscal alguno. Pero qué fuertes los whatsapps de Sánchez, terribles.
Bitter_Truth|@Clarisima #4 Cerrar Muy bien. Ahora a ver si hacen lo mismo con la familia Sanchesku, Koldo, Ábalos, Tito Berni, Leire la fontanera, Fiscal Gral del Estado, etc etc etc etc etc te falta otro etc.
ADELE_|@odoacre #92 Cerrar @ ADELE_ # 77 lo normal sería que los ciudadanos no quisiesen a un presidente del Gobierno que ordenase a charos buscar delitos en la UCO. Pues no. Claro, lo normal sería que los ciudadanos quisiesen a un Conseller que provocó la muerte de 228 personas. Pues no, hoy los valencianos vuelven a salir a la calle para pedir su dimisión, qué raros son.
parsanjo|Como le gusta decir a su novia PALANTE
Gandolfini|@Zark_7 #11 Cerrar Muy bien. Justicia para todos. El novio de Ayuso. Otros tienen a la mujer, al hermano y al cuñado. Al hermano también lo tiene ella....3 a 2, y en breve, quizás empate.
EduCalleja|@Juanfelipe #84 Cerrar Por supuesto que Sánchez tendría que dimitir (por ética, imagen) si condenaran a su mujer aunque Sánchez no supiera lo que ella hacía. Y Ayuso también ha de dimitir si condenaran a su pareja Begoña usó su condición de esposa del presidente de gobierno y recursos públicos para sus negocios privados. Glez Amador ni conocía a Ayuso cuando se produjeron los hechos que se jugarán. Y en ningún momento nada público se vio comprometido. Son casos totalmente diferentes por mucho que los intenten comparar o igualar.
BochornoPsoes|Que le procese por delitos cometidos cuando no era novio ni nada de Ayuso. Como a cualquiera. Tiembla Psoe.
Smoker|¿Ya se ha victimizado diciendo que es una víctima política del sanchismo? Ya sabéis que hoy en día si eres un presunto delincuente y te quieres ir de rositas frente a la opinión pública, con soltar soflamas panfletarias te basta y te sobra.
Korreynopares|A mi la noticia no me salpica, soy extremeño, y al cínico de Gallardo lo tengo más cerca.
MalditosRoedores|Ruiz-Jarabo, director AEAT 1998-2001: 1º Es praxis consuetudinaria de la Fiscalía hacer un seguidismo acrítico de lo que denuncia la AEAT. No recuerdo un solo caso, ni en mi etapa en la AEAT ni en la que ejercí como profesional del asesoramiento fiscal, en el que la fiscalía se haya opuesto a la opinión de la inspección de Hacienda.
ElKillerlaMuerte|@N0RL #53 Cerrar @ Supernova # 26 cambia tus fuentes. Ayuso y el defraudador confeso que se sepa, llevan desde mayo de 2021. Los ejercicios fiscales por lo que se le imputan son, el ejercicio 2020, la presentación de la liquidación del impuesto se realiza en el año 2021 ( ya estaban ) y la liquidación del ejercicio 2021 se presenta en el año 2022 ( llevaban que se sepa un año ). Además, la regularización extemporánea intentado regularizar lo mal hecho ( eso que dijo ella desde un atril de la CM que hacienda le debía 600.000) corresponde al ejercicio 2022 y se presenta en el año 2023 ( seguían estando juntos ). Y siguen. Pues yo a partir de ahora cuando me eche pareja, le voy a pedir la declaración de la renta y demás antes de nada, que luego te largan todos los muertos de tu pareja aunque no estés casado ni nada parecido.
luik2021|Y a mí que me importa el novio de Ayuso?
Juanfelipe|@REEL #49 Cerrar @ Juanfelipe # 21 Estás juntando churras con merinas... ¿O te lo han mandado desde Ferraz? Dò @luimiel66 #43 Cerrar @ Juanfelipe # 21 Y por qué exactamente tendría que dimitir??? Cuando supuestamente cometió los delitos no tenían ninguna relación. Pero como no podéis con Ayuso, pues a pedir sin más. No te veo decir lo mismo del mentiroso de Sánchez, que lleva mintiendo a España desde que se aupó en el poder, y seguimos sin presupuestos, por lo que tendría que convocar elecciones Ese bulo imteresado ya se desarmó, es muy antiguo, cuando los delitos, declaraciones presentadas en julio de 2021 y julio de 2022, estaban juntos (mayo 2021). Si hay condena por delitos contra Hacienda, dimisión de Ayuso por ética, imagen, ejemplo. No hay otra
Javierlec|@Juanfelipe #84 Cerrar Por supuesto que Sánchez tendría que dimitir (por ética, imagen) si condenaran a su mujer aunque Sánchez no supiera lo que ella hacía. Y Ayuso también ha de dimitir si condenaran a su pareja Aunque en un caso los hechos que se juzgan se cometieran antes de ser pareja y en el otro se cometieron, precisamente, gracias a que es la pareja? No cree que hay una diferencia importante?
Madison|Pues muy bien, que le juzguen y que pague lo defraudado. pero si son 5 las personas implicadas por qué se habla exclusivamente de una???
odoacre|@ADELE_ #77 Cerrar Lo normal sería que los ciudadanos se alegrasen de que imputan a un defraudador fiscal. Pues no. lo normal sería que los ciudadanos no quisiesen a un presidente del Gobierno que ordenase a charos buscar delitos en la UCO. Pues no.
Madridatope|@No_voto_a_nadie #70 Cerrar Si eres político y condenan a un familiar tuyo, creo que deberías dimitir. Esto vale para Ayuso y para todos. Ya dimitió Alfonso Guerra sin que llegaran a condenar a su hermano, así que, si hay condena, hay incluso más razones para dimitir. De acuerdo. Ahora bien, en este caso ni es familiar ni su marido, porque hasta donde sabemos ni siquiera están casados (ni civil ni religiosamente) y esta situación se originó antes de llegar siquiera a convivir.
NoEsEsto|IDA, MAR y AGA pasaban por allí, la corrupta fiscalía y la jueza la tomaron con los pobrecillos, con lo bien que hubieran hecho persiguiendo a Sánchez, El Maligno. Jueces y fiscales de izquierdas, nefastos y atolondrados. Hay que salvar al soldado AGA, caiga quien caiga.
ADELE_|ÚLTIMA HORA Se filtran whatsapps de Ayuso: "Alberto, tú defrauda todo lo que quieras, que tengo mayoría absoluta .Y cuando acabes la declaración, baja al piso de abajo y hazme el amor". Qué tía.
Juan_Sorribes|@ADELE_ #58 Cerrar @ Fractal # 36 Recuerde que eso es mentira. Amador cometió el fraude fiscal en 2021, cuando ya salía con Ayuso. Y ella mintió a todos los españoles diciendo que no había fraude fiscal alguno. Lo cual es perfectamente irrelevante, salvo para sectarios o id i otas. ¿Hizo algún negocio con la Comunidad de Madrid gracias a su novia? ¿Hay dinero público afectado? ¿Tráfico de influencias? No, ¿verdad? Hay un empresario que se deduce lo que no debe y que cuando tiene un pacto ya negociado con Hacienda, que le obliga a declararse culpable, como es habitual, alguien descubre quién es su novia, lo para y en 24 horas lo manda a los tribunales. Lo normal es que se firme un pacto porque Hacienda pierde casi el 60% de estos pleitos, pero oye ¿vas a dejar la oportunidad de atacar a un tipo porque odias a su novia?
MalditaPandemia|@Cheiv #61 Cerrar Debo protestar por el titular, supongo que el "novio de Ayuso" tendrá nombre, ¿si mañana lo dejan en el titular se referirán a él como "el exnovio de Ayuso" como si eso ya fuera un título nobiliario?. tienes razon, este medio abusa mucho de las coletillas que deberian sobrar en un diario serio, como hermanisimo, mujercisima, fontanera, y demas coletillas cuando efectivamente tienen un nombre y apellidos, a buen entendedor..
ADELE_|@Amomos #69 Cerrar Pobre hombre. Van a por él por ser la pareja de Ayuso. No le han dejado zanjarlo con hacienda para meterlo en la cárcel si pueden. Este autócrata va a por todas. Pobre hombre, ya no te dejan ni defraudar 350000 euros a Hacienda. Esto parece Venezuela, o Algete.
Juan_Sorribes|@ADELE_ #56 Cerrar @ PostMarxistaequivocado # 45 No hay noticia, es normal que la presidenta de la Comunidad de Madrid conviva con un delincuente en un piso comprado con dinero defraudado a Hacienda. Pasa todo el rato. Noticia: HECHO RELEVANTE DE INTERÉS GENERAL. ¿Qué interés general tiene que ese señor tenga que responder por sus negocios privados ante hacienda? Cierto que, como se puede comprobar leyendo cualquier medio, los periodistas han olvidado el oficio y la ética que va con el, pero aún así...
Juanfelipe|Por supuesto que Sánchez tendría que dimitir (por ética, imagen) si condenaran a su mujer aunque Sánchez no supiera lo que ella hacía. Y Ayuso también ha de dimitir si condenaran a su pareja
N0RL|@pispas #67 Cerrar @ Novale # 44 aquí los que ocultan son otros... A ver tu declaraciones de la renta, cómo las hayas hecho mal, en los periódicos te ponemos ni se le investiga por la declaración de la renta, ni sus declaraciones de la renta están publicadas en ningún sitio, eso es falso.
Nickdos|@GranCanarion #31 Cerrar Zurdos, tendrán a Ayuso hasta 2027, jajajajaj Pero sólo en el quesito central, afortunadamente.
Juanfelipe|@renegado1 #48 Cerrar @ Juanfelipe # 21 campeón, que cuando presuntamente cometió los delitos ni se conocían. si
Con_tres_000|A isabelita le ponen los malotes, como a Irena Montera los piojosos. El celo femenino es muy complejo.
Steve|En condiciones normales este ciudadano hubiera llegado a un acuerdo con la Fiscalía , pagando toda la deuda, un acuerdo beneficioso para todos. Como se hace casi siempre. Pero enterado el Psoe y con la intervención del Fiscal General del Estado, impidieron este acuerdo. Si no hubiera sido novio de Ayuso evidentemente que se hubiera llegado a ese acuerdo.
Utopilitologo|Ana Rosa, hará el seguimiento mediático de los vis a vis, entre el chulangano defraudador y la Fruta.
ADELE_|Lo normal sería que los ciudadanos se alegrasen de que imputan a un defraudador fiscal. Pues no.
Novale|@I_am_an_Avatar #52 Cerrar Tenían que lanzar ya el proceso para con la noticia tapar las vergüenzas que están saltando de Sanchez. La otra opción podría ser que Ayuso no tuviera como pareja a un delincuente confesó, pero no, esa no. Ayuso puede y debe rodearse de delincuentes, pero si los juzgan ha tenido que ser culpa del gobierno.
Galanteo94|@Fractal #13 Cerrar Perfecto. Si cometió un delito, que lo pague. Pero del otro lado (Begoña, hermanísimo, Koldo, Abalos, Aldama, Leire, etc.), lo mismo. Justicia igual para todos, sin excepciones. jajjaaj perdedor, te vas a comer los mocos
DonCicuta|PAAAAAAAALANTE Ponedlo un poco más pequeñito, que aún se ve al entrar a la web
Carlosuvcl|Si este es procesado ,,, Sánchez pena capital
oskarclash77|@ADELE_ #56 Cerrar @ PostMarxistaequivocado # 45 No hay noticia, es normal que la presidenta de la Comunidad de Madrid conviva con un delincuente en un piso comprado con dinero defraudado a Hacienda. Pasa todo el rato. Nunca hay noticia cuando afecta a la lideresa.
LMP|Bueno, no pasará nada. Si después de robar 800 millones de € en Andalucía algunos condenados no han pisado la cárcel, seguro que Sánchez también se lo arregla. Aunque este sí ha pagado ya la deuda, y loas andaluces no, porque parece que a nadie le interesa pedírsela!!!
No_voto_a_nadie|Si eres político y condenan a un familiar tuyo, creo que deberías dimitir. Esto vale para Ayuso y para todos. Ya dimitió Alfonso Guerra sin que llegaran a condenar a su hermano, así que, si hay condena, hay incluso más razones para dimitir.
Amomos|Pobre hombre. Van a por él por ser la pareja de Ayuso. No le han dejado zanjarlo con hacienda para meterlo en la cárcel si pueden. Este autócrata va a por todas.
Salgaderu|@Detergente #38 Cerrar En este caso en que el presunto delito se cometió antes que el imputado conociera a l Ayuso no tiene nada que ver con eltrafico de influencias, malversación y prevaricación de María Begoñs y el Hermanisimo. De momento, ni este "paisano" ni el resto que usted menciona está condenados por sentencia firme; lo que quiere decir que son inocentes al no haberse demostrado lo contrario.
pispas|@Novale #44 Cerrar Aunque pongáis 9 noticias antes que esta, no podréis ocultarlo. aquí los que ocultan son otros... A ver tu declaraciones de la renta, cómo las hayas hecho mal, en los periódicos te ponemos
ADELE_|@Manoplas54 #42 Cerrar Cortina de humo. Como este hay miles en España. Defraudadores hay miles. Que se acuesten con la presidenta, que sepamos, solo uno.
Salgaderu|@FURILO #40 Cerrar Una jueza corrupta, como todas las de izquierdas, perdon, progresista. Supongo que tendrá pruebas de la corrupción de la jueza.
ADELE_|Dónde estará el usuario @tienesrazon? Qué raro, con lo que le gusta opinar sobre todo.
Objetivo_pero_no_imparcial|Entonces ya le podemos llamar defraudador confeso sin que nos demande?
pispas|@luimiel66 #43 Cerrar @ Juanfelipe # 21 Y por qué exactamente tendría que dimitir??? Cuando supuestamente cometió los delitos no tenían ninguna relación. Pero como no podéis con Ayuso, pues a pedir sin más. No te veo decir lo mismo del mentiroso de Sánchez, que lleva mintiendo a España desde que se aupó en el poder, y seguimos sin presupuestos, por lo que tendría que convocar elecciones Si solo fueran los presupuestos... Desgraciadamente es mucho más grave lo de Sánchez, pero a las¿¿ les da igual
Cheiv|Debo protestar por el titular, supongo que el "novio de Ayuso" tendrá nombre, ¿si mañana lo dejan en el titular se referirán a él como "el exnovio de Ayuso" como si eso ya fuera un título nobiliario?.
ascalapaca|Usted, parece ser que tiene un entendimiento algo justo, informese y luego opine! @PostMarxistaequivocado #45 Cerrar Aquí no hay noticia; lo que haya hecho lo hizo sin contar con la presidenta (no como Begoña y Pedrito), además, es un caso de un particular... no entiendo escándalo mediático
chemasan65|@lj_marzal #3 Cerrar Esta es la reacción a ¿ la fontanerilla ¿ ¿ veras que ridículo ¿ La reacción a la fontanerilla ha sido esta mañana en RTVE, echando porquería sobre la Guardia Civil.
ADELE_|@Fractal #36 Cerrar @ Juanfelipe # 21 Recuerde que este presunto delito se cometió antes de conocer a Diaz Ayuso y ser su pareja. Recuerde que eso es mentira. Amador cometió el fraude fiscal en 2021, cuando ya salía con Ayuso. Y ella mintió a todos los españoles diciendo que no había fraude fiscal alguno.
Salgaderu|@PostMarxistaequivocado #45 Cerrar Aquí no hay noticia; lo que haya hecho lo hizo sin contar con la presidenta (no como Begoña y Pedrito), además, es un caso de un particular... no entiendo escándalo mediático Pues si no hay noticia, que la oculten. ¿verdad que sí?
ADELE_|@PostMarxistaequivocado #45 Cerrar Aquí no hay noticia; lo que haya hecho lo hizo sin contar con la presidenta (no como Begoña y Pedrito), además, es un caso de un particular... no entiendo escándalo mediático No hay noticia, es normal que la presidenta de la Comunidad de Madrid conviva con un delincuente en un piso comprado con dinero defraudado a Hacienda. Pasa todo el rato.
REEL|@ADELE_ #32 Cerrar Frutona tictac, señores. Sí, Frutona tictac. Ya, vete buscando un asiento mullidito, anda...
Sulrog|La maduroesfera se puede cosiderar satisfecha pero DA IGUAL es una persona que puede que defraudara 350000€ y quieren comparar ESO a que un FISCAL GENERAL DEL ESTADO nombrado por el gobierno y a sus ORDENES filtre informacion PRIVADA de un particular por razones de quien es pareja para atacarla POLITICAMENTE. Será o no culpable pero que el estado use TODOS SUS PODERES contra particulares por razones idfeologicas ES lo que ha pasado y ES lo que pasa en sangrientas dictaduras
N0RL|@Supernova #26 Cerrar Ayuso ni conocía a su pareja cuando pasó esto. Ya no saben ni a qué aferrarse para levantar cortinas de humo de la organización criminal cambia tus fuentes. Ayuso y el defraudador confeso que se sepa, llevan desde mayo de 2021. Los ejercicios fiscales por lo que se le imputan son, el ejercicio 2020, la presentación de la liquidación del impuesto se realiza en el año 2021 ( ya estaban ) y la liquidación del ejercicio 2021 se presenta en el año 2022 ( llevaban que se sepa un año ). Además, la regularización extemporánea intentado regularizar lo mal hecho ( eso que dijo ella desde un atril de la CM que hacienda le debía 600.000) corresponde al ejercicio 2022 y se presenta en el año 2023 ( seguían estando juntos ). Y siguen.
I_am_an_Avatar|Tenían que lanzar ya el proceso para con la noticia tapar las vergüenzas que están saltando de Sanchez.
AJSS|Lo que proceda a todos con el mismo metro lo haces lo pagas
ADELE_|@GranCanarion #31 Cerrar Zurdos, tendrán a Ayuso hasta 2027, jajajajaj Y ustedes a Sánchez hasta 2027. Como mínimo. Acábese el gofio, señor.
REEL|@Juanfelipe #21 Cerrar Si al final hay condena no cabe otra que la dimisión. SI condenaran a la mujer de Sánchez, aunque este no supiera lo que hacía su mujer con la cátedra, la derecha exigirá desde el primer minuto su dimisión. Pues ecactamente igual Estás juntando churras con merinas... ¿O te lo han mandado desde Ferraz?
renegado1|@Juanfelipe #21 Cerrar Si al final hay condena no cabe otra que la dimisión. SI condenaran a la mujer de Sánchez, aunque este no supiera lo que hacía su mujer con la cátedra, la derecha exigirá desde el primer minuto su dimisión. Pues ecactamente igual campeón, que cuando presuntamente cometió los delitos ni se conocían.
REEL|@Juanfelipe #16 Cerrar Pues ya que ir pronunciando la palabra dimisión Dimisión ¿De quién?
Novale|@Fondeado #28 Cerrar Qué prisa tienen en llevarse a juicio y aplicar el delito fiscal. Es el motivo por el que filtraron y desbarataron el acuerdo alcanzado con la fiscalía al respecto. sería delito fiscal aunque no hubiera ido a juicio.
PostMarxistaequivocado|Aquí no hay noticia; lo que haya hecho lo hizo sin contar con la presidenta (no como Begoña y Pedrito), además, es un caso de un particular... no entiendo escándalo mediático
Novale|Aunque pongáis 9 noticias antes que esta, no podréis ocultarlo.
luimiel66|@Juanfelipe #21 Cerrar Si al final hay condena no cabe otra que la dimisión. SI condenaran a la mujer de Sánchez, aunque este no supiera lo que hacía su mujer con la cátedra, la derecha exigirá desde el primer minuto su dimisión. Pues ecactamente igual Y por qué exactamente tendría que dimitir??? Cuando supuestamente cometió los delitos no tenían ninguna relación. Pero como no podéis con Ayuso, pues a pedir sin más. No te veo decir lo mismo del mentiroso de Sánchez, que lleva mintiendo a España desde que se aupó en el poder, y seguimos sin presupuestos, por lo que tendría que convocar elecciones
Manoplas54|Cortina de humo. Como este hay miles en España.
andoni1988|@Ok1 #25 Cerrar Ayuso es lo único que les queda a los sinverguenzas del PSOE... Habría que investigar a las parejas de los 23 ministros, a ver so resisten el mismo análisis que el de la pareja de Ayuso... Y a veo al pseudoperiodista Xabier Fortes de 24 horas TVE, va a estar meses sacando el asunto cada día, no tiene otro argumento al que agarrarse frente a la corrupción del partido socialista. El novio de Ayuso será juzgado ipso facto, él no es aforado como los sinverguenzas de los amiguitos de Sánchez. Me pregunto qué argumentos tendrán luego los pseudoperiodistas al servicio de Tele Sánchez??? @Ok1 #25 Cerrar Ayuso es lo único que les queda a los sinverguenzas del PSOE... Habría que investigar a las parejas de los 23 ministros, a ver so resisten el mismo análisis que el de la pareja de Ayuso... Y a veo al pseudoperiodista Xabier Fortes de 24 horas TVE, va a estar meses sacando el asunto cada día, no tiene otro argumento al que agarrarse frente a la corrupción del partido socialista. El novio de Ayuso será juzgado ipso facto, él no es aforado como los sinverguenzas de los amiguitos de Sánchez. Me pregunto qué argumentos tendrán luego los pseudoperiodistas al servicio de Tele Sánchez??? pues haga lo mismo con las de el Pp y estoy con usted..incluidos familias
FURILO|Una jueza corrupta, como todas las de izquierdas, perdon, progresista.
Berthamalau|Vaya,éste sí que va palante¿
Detergente|En este caso en que el presunto delito se cometió antes que el imputado conociera a l Ayuso no tiene nada que ver con eltrafico de influencias, malversación y prevaricación de María Begoñs y el Hermanisimo.
ADELE_|Ya tenemos las primeras declaraciones de Ayuso: "Te voy a partir los ojos, felón!!!!". Vaya.
Fractal|@Juanfelipe #21 Cerrar Si al final hay condena no cabe otra que la dimisión. SI condenaran a la mujer de Sánchez, aunque este no supiera lo que hacía su mujer con la cátedra, la derecha exigirá desde el primer minuto su dimisión. Pues ecactamente igual Recuerde que este presunto delito se cometió antes de conocer a Diaz Ayuso y ser su pareja.
Ok1|@228dead #9 Cerrar esta noticia hay que reducirla un poco más y con letras mas pequeñas y borrosas pero sobre todo cambiar el titular para que diga, la jueza se ha vuelto loca y no se cree la verdad de que la frutera y su noviete choricete todo lo hacen bien y por España No te preocupes la TVE estará meses y meses prime time con el tema....
N0RL|No olvidar que aquí hay mas, González Amador sigue imputado por corrupción en los negocios y administración desleal en otra pieza separada, aunque Ayuso no quiera ni hablar del peluquín. jaja
JULES3|@Zark_7 #11 Cerrar Muy bien. Justicia para todos. El novio de Ayuso. Otros tienen a la mujer, al hermano y al cuñado. bueno..ayuso tambien tiene al hermano con chanchullos.. y esperate a ella misma como prospere lo de las residencias..
ADELE_|Frutona tictac, señores. Sí, Frutona tictac.
GranCanarion|Zurdos, tendrán a Ayuso hasta 2027, jajajajaj
GranCanarion|Trincan a la fontanera, reacción contra Ayuso.... que no somos tontos jueza.
FURILO|Si ha defraudado, me parece bien. Pero porque no lo hacen con los mas de 600 corruptos del gobierno? Poque no se les juzga por las muertes del Covid, de la Dana, del apagon y del ELA., que son competencias del gobierno?Almodovar no ha cometido lo mismo que este personaje? Claro!! es profesion de riesgo!!
Fondeado|Qué prisa tienen en llevarse a juicio y aplicar el delito fiscal. Es el motivo por el que filtraron y desbarataron el acuerdo alcanzado con la fiscalía al respecto.
Ok1|@rojitosoy #8 Cerrar Este va pa'lante. Sí de momento el único, la panda de chorizos sosn los aforados de Sánchez
Supernova|Ayuso ni conocía a su pareja cuando pasó esto. Ya no saben ni a qué aferrarse para levantar cortinas de humo de la organización criminal
Ok1|Ayuso es lo único que les queda a los sinverguenzas del PSOE... Habría que investigar a las parejas de los 23 ministros, a ver so resisten el mismo análisis que el de la pareja de Ayuso... Y a veo al pseudoperiodista Xabier Fortes de 24 horas TVE, va a estar meses sacando el asunto cada día, no tiene otro argumento al que agarrarse frente a la corrupción del partido socialista. El novio de Ayuso será juzgado ipso facto, él no es aforado como los sinverguenzas de los amiguitos de Sánchez. Me pregunto qué argumentos tendrán luego los pseudoperiodistas al servicio de Tele Sánchez???
espantajo|Palante
Juanfelipe|@sindicalistas_marisqueros #10 Cerrar Quién es esa juez tan sumisa a Alvarito y al poder ? , no será una tal Durantez , exmilitante socialista, que también ha vuelto a reabrir el asunto de los ancianos de las residencias de Madrid, causas cerradas y bien cerradas que abre Alvarone para tapar sus corrupciones. Tiene gracia, tú no preguntas ni lo que ha podido hacer este hombre, de qué se le acusa, tú, sin saber eso, a por la jueza (y sin tampoco saber quién es).
ADELE_|ÚLTIMA HORA Miguel Ángel Rodríguez estampa su coche contra el juzgado. Seguiremos informando.
Juanfelipe|Si al final hay condena no cabe otra que la dimisión. SI condenaran a la mujer de Sánchez, aunque este no supiera lo que hacía su mujer con la cátedra, la derecha exigirá desde el primer minuto su dimisión. Pues ecactamente igual
ADELE_|@sindicalistas_marisqueros #10 Cerrar Quién es esa juez tan sumisa a Alvarito y al poder ? , no será una tal Durantez , exmilitante socialista, que también ha vuelto a reabrir el asunto de los ancianos de las residencias de Madrid, causas cerradas y bien cerradas que abre Alvarone para tapar sus corrupciones. No sé, a lo mejor a la jueza no le gusta el fraude fiscal tanto como a usted.
ADELE_|Esta noticia más escondidita, no la quiero yo ahí.
antorma|Finalmente, una juez pone sensatez en este asunto
Con_tres_000|El rojerío tendrá que seguir aguantándose con Isabelita hasta 2027, por mucho que procesen al novio. Y en el 2027 volverá a ganar. Esperen un momento, soy un tarugo que cuenta con los dedos... ... ... en el 2031 que lo intenten otra vez.
Juanfelipe|Pues ya que ir pronunciando la palabra dimisión
JULES3|novedaz
Disfrute|@topopadre_elmundo #1 Cerrar Vaya, que pronto se resuelven algunas cosas... pronto? estás de broma supongo.
