umbral2|Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia.
Nomegustalasmafias|Sánchez pero que cobarde eres, dá la cara hombre y deja de mentir con el que España va en cohete, no te lo crees ni tú.
pepote25|@ADELE_ #621 Cerrar @ ricardito_47 # 588 Exacto, ya es culpable porque lo ha decidido usted. Los patriotas pasan de los juicios, pasan de la justicia, pasan de todo. Otro día perdido anciana ,otro día encerrada sin salir y con el teclado del odio a toda marcha ,otro día creándote enemigos que te insulten ,que triste vida
No_mas_politicos|@nifacha_niwoke #568 Cerrar @ etanzi # 538 no, yo pienso que nos avisó de que hay personas que nos están metiendo la mano en la cartera. O a Ud. no le gustaría que alguien le avise si va en el metro y unos carteristas le están robando. Según como se vea, es un héroe que pudo haberse evitado todo este bochorno por avisarnos. Yo ya no quiero políticos corruptos. como vas con las denuncias al entorno del presidente? O a Abalos? O a su hermano o a suujer? Quizás piensas que estos no te han tocado la cartera? Aaaa que como la señora Adele, si la corrupción es de mi partido es buena. Despierte señor y recapacite en lo que está sucediendo todos los días. Es escándalo sobre escándalo
MalditosRoedores|Acabo de leer que según la ley vigente, aquellos fiscales que, en el ejercicio de sus funciones, resulten formalmente acusados en un procedimiento penal y tengan que sentarse en un banquillo, serán apartados por su superior competente hasta que su situación se resuelva; una norma que, en cambio, no está prevista de manera expresa si quien resulta procesado es el fiscal general del Estado, el cual no piensa dimitir. ¡ Anda! La fiscal de Madrid deberá ser apartada del cargo pero el fiscal-general-de-quien-depende-la-fiscalía-pues-eso no le da la gana dimitir ¡ menudo bochornoso esperpento del fiscal general ¡
Tomasone|@Rakataplan #549 Cerrar Es posible que haya que demoler las últimas rémoras del franquismo por amenaza de derrumbe, por ejemplo el TS, carcomido hasta el tuétano. O derribar lo PSOE, cancer desde siempre O no sabes nada de sus dos golpes de estado a vuestra amada república Sois muy incultos
Segistobre| Ángel Hurtado ha decidido procesar a Álvaro García Ortiz, por la filtración del correo con la confesión de fraude fiscal de la pareja de Isabel Díaz Ayuso. El juez asegura que el fiscal general actuó siguiendo "indicaciones recibidas de Presidencia del Gobierno" . Sin embargo, el auto, de más de 50 folios, no aporta ninguna prueba concreta sobra esas "indicaciones" llegadas desde el Gobierno.
No_mas_politicos|@Nomegustalasmafias #646 Cerrar @ Segistobre # 488 Es que es más importante en una democracia, si queremos que la haya, por lo menos eso opinamos muchos correcto. Un robo o fraude es un delito común, lo que ha pasado con el fiscal general no tiene precedentes en la democracia de España ni de ningún país Europeo
Luiggito|El juez que tiene la certeza de que la filtración se produjo por orden de Sánchez sin una sola prueba es el mismo que no veía ninguna relación de Mariano Rajoy con los apuntes de M.Rajoy de la contabilidad B del PP. Sorpresa para nadie
Nomegustalasmafias|@Segistobre #488 Cerrar Para la derechona es más importante la filtración, de la que no hay aún certeza quién la hizo, que el fraude del novio de La Frutera. Es que es más importante en una democracia, si queremos que la haya, por lo menos eso opinamos muchos
QuieroLibertadNoUnP_toAmo|En 2011 el ministro de Energia del Reino Unido tuvo que dimitir por mentir sobre una multa de tráfico de años anteriores....en cambio aquí ya vamos a la cola en cuanto a control de la corrupción, por detrás de Botsuana y Ruanda según "Transparencia Internacional". Es delirante.
