umbral2|Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia.
AngelOfTheNorth|@DDavid #640 Cerrar Por lo que se lee por aquí, los incondicionales del partido rojo tienen la instrucción de salir a pelear con ellas y dientes. Años atrás les tocó a los del partido azul. Los que no nos vestimos suele del mismo color estamos asustados de la poca objetividad con la que leen la realidad rojos, azules, morados y verdes. ¿Nos moriremos viendo que esto cambie? Hay una diferencia. Los del actual gobierno han corrompido justicia, universidad, sindicatos, GC, CNP, Renfe, Correos, Red Eléctrica... Este nivel de saqueo y corrupción jamás se había visto en democracia.
alexcienki|¡Qué buena es nuestra dependencia de nuestro Poder Judicial! ¡Cómo pocas!
mercurio1|Que pensaran los jueces en Europa cuando vean que el presidente del tribunal supremo aprueba una causa sin aportar pruebas ni explicacines,y solo en base a suposiciones propias
Casilda|@tienesrazon #628 Cerrar ¿Y por qué Europa no hace nada?. ¿Ven normal que un Fiscal General del Estado esté procesado por revelación de secretos y no dimita?. ¿Ven normal que todo un Gobierno ataque al Poder Judicial e insulte a los jueces?. ¿Éso es normal en una democracia dentro de la UE?. Por favor, que vergüenza. si no lo hizo con el PP tampoco lo hará con PSOE .
DDavid|Por lo que se lee por aquí, los incondicionales del partido rojo tienen la instrucción de salir a pelear con ellas y dientes. Años atrás les tocó a los del partido azul. Los que no nos vestimos suele del mismo color estamos asustados de la poca objetividad con la que leen la realidad rojos, azules, morados y verdes. ¿Nos moriremos viendo que esto cambie?
No_mas_politicos|@ROQUEDETIERRA #631 Cerrar PSOE: Tranquilo Álvaro, ya Cándido está al tanto de todo. Él arreglará ésto que para eso lo tenemos.. creo que el caso ha transcendido al comisario europeo de justicia, el tema de degradación institucional (por lo que he leido) es muy preocupante en Europa. Estos sinvergüenzas están dejando las instituciones al nivel de Corea del Norte.
AngelOfTheNorth|Estado fallido. Este gobierno ha acabado con la separación de poderes. Disfruten de las cañitas y de las vacaciones de verano. Ya vendrán los lloros por lo que no quisieron ni supieron defender.
ricardito_47|@ADELE_ #621 Cerrar @ ricardito_47 # 588 Exacto, ya es culpable porque lo ha decidido usted. Los patriotas pasan de los juicios, pasan de la justicia, pasan de todo. Yo creo que es bastante evidente que no ha actuado como lo debe hacer un fiscal general. El que sea culpable o no lo dirá la Justicia. Repase el comentario 626, del que estoy totalmente de acuerdo..
_Placebo72|@2012pepes #597 Cerrar @ _Placebo72 # 528 En el último "reparto" de jueces, el socialismo eligió a los que quiso (por cierto, en mayor número que los que eligió el PP). Se puede quejar si es de otro partido, con mucha razón. Pero no si intenta defender al Psoe. "PSOE y PP renuevan el Poder Judicial con el sistema actual repartiéndose diez vocales cada uno" A este reparto se refiere usted?
pepote25|@Tomasone #623 Cerrar @ ADELE_ # 571 Cobras tus servicios con tarjeta, y los deciaras? Pensaba que todas cobrabais en efectivo ¿Que clase de servicios va hacer la anciana decrépita? ¿tu contratarías a una anciana para algo?
ADELE_|@Yamuy #616 Cerrar @ ADELE_ # 571 Me encanta ver a la rojosfera tan nerviosa.jajajsjsajaja Tú también defraudas a Hacienda, como el novio de Ayuso? Yo es que no. Y cálmate.
Tomasone|@228dead #543 Cerrar el alberto quirón, un particular que nada tiene que ver con nadie y menos con quien se acuesta, va pasar el mayor calvario imaginable por su chulería de poner denuncias contra el gobierno en pleno, recordemos que se han archivado casi todas de sus 22 denuncias, en las que tendrá que pagar costas y gastos, porque piensa que teniendo de su lado a la reina del bulo todos irán palante, y ahora con el Ortiz le caerá la mundial cuando se archive, porque se archivará un proceso sin pruebas y con todos los testigos válidos, periodistas menos los de EM, que dirán la verdad Dabes que Goebels no tenía razón, que aunque repitas mentiras, no cuelan
Tomasone|@ADELE_ #545 Cerrar @ 228dead # 520 Pero no arruine las ilusiones de los patriotillas, hombre. Bueno, sí. Tu no te hagas tampoco ilusiones, que en kta calle se cobra menos
ROQUEDETIERRA|PSOE: Tranquilo Álvaro, ya Cándido está al tanto de todo. Él arreglará ésto que para eso lo tenemos..
_Placebo72|@Tomasone #619 Cerrar @ _Placebo72 # 586 No sabes lo que es una cosa ni la otra Expliquemelo usted, por favor, que se nota que sabe de que va el tema porque se nota que es partidario de ambos, claro.
No_mas_politicos|@Repartidor #567 Cerrar Cuando lees los posts de la izquierda sumisa y descerebrada, te das cuenta de que nunca saldrán ni de pobres ni de ignorantes. Es su problema no todos pensamos igual. Estos no son socialistas, ni gente de centro. Está gente son sinvergüenzas que han entrado en política para crear un entramado totalitario comunista, el nivel de latrocinio, amoralidad sin escrúpulos es tal, que dan arcadas.
tienesrazon|¿Y por qué Europa no hace nada?. ¿Ven normal que un Fiscal General del Estado esté procesado por revelación de secretos y no dimita?. ¿Ven normal que todo un Gobierno ataque al Poder Judicial e insulte a los jueces?. ¿Éso es normal en una democracia dentro de la UE?. Por favor, que vergüenza.
Indomito|No hay que ser un lince para que en Europa nos tengan calaos . No el 5% en defensa , ni opa del BBVA a Sabadell , ni centrales nucleares con apagón general incluido , ni Ave moderno , la joya de la corona , más Km que nadie , debido al robo de cobre, ni presupuestos , ni vivienda social y ahora el Fiscal General a declarar en juicio .
No_mas_politicos|@ADELE_ #571 Cerrar @ No_mas_politicos # 544 Ah, usted también defraudó 350000 euros a Hacienda, como el novio de Ayuso? Pues yo no, la verdad. la he respondido en otra noticia y carece usted de educación democrática y civismo. La función de un fiscal general no es destruir a un adversario político a través de difundir las presuntas irregularidades que tenga la pareja con Hacienda. La misión de un fiscal es ser garante de los derechos fundamentales de los ciudadanos y presentar los cargos que crea sea constitutivos de delito a su señoría. Jamás, en ningún país democrático, un fiscal general se prestaría a utilizar los datos para destruir políticamente a un adversario de la oposición, primero porque el fiscal general no es un cargo político, no encausa por ideología, si no por hechos delictivos. Lo del señor que presuntamente defraudó, lo determinará su señoría cuando llegue el caso. Aprenda a respetar para que la respeten, señora
Tomasone|@ADELE_ #556 Cerrar @ nifacha_niwoke # 536 Pero señor, si un golpe de estado y una dictadura es exactamente lo que quieren PillyMilly y el resto de foreros... Pero tu tranquila, que tu oficio seguirá
Tomasone|@FURILO #570 Cerrar Segun informan, la Leire del Psoe, es la madrastra de Adeleire.........será verdad? Jajajaja, miy bueno
Tomasone|@ADELE_ #571 Cerrar @ No_mas_politicos # 544 Ah, usted también defraudó 350000 euros a Hacienda, como el novio de Ayuso? Pues yo no, la verdad. Cobras tus servicios con tarjeta, y los deciaras? Pensaba que todas cobrabais en efectivo
JPV|@AntonioLuque #581 Cerrar @ conchalote96 # 521 El Banco de España cifra en 60.000 millones el dinero público perdido en el rescate a 14 cajas de ahorros Cajas de ahorros PÚBLICAS. Por eso no se devolverá ni un euro.
ADELE_|@ricardito_47 #588 Cerrar Marchando una de AMNISTÍA, y así no hace falta ni tan siquiera juzgarlo lo que representa un ahorro importante de dinero y también se gana tiempo. Exacto, ya es culpable porque lo ha decidido usted. Los patriotas pasan de los juicios, pasan de la justicia, pasan de todo.
ADELE_|@Kheops #589 Cerrar @ ADELE_ # 571 ¿Pero usted qué va a defraudar, si ni tiene oficio ni beneficio, si está 24/7 metida en este foro? ¿O acaso es de las de la paguita? Si usted trabaja, pobre empresa a la que defrauda (está claro que no hace nada). Y si no trabaja, pobres familiares y amigos por soportarla a diario. Cálmese, tómese un tila y ya si eso vuelva a dirigirse a mí.
Tomasone|@_Placebo72 #586 Cerrar @ conmundo # 580 Por qué no se va a Argentina ya que tanto le gusta ser gobernado por los fasc-tas criptoestafadores? No sabes lo que es una cosa ni la otra
Tomasone|@ADELE_ #587 Cerrar @ conmundo # 576 Por favor, no sea usted tan duro con el PP, se lo ruego. Ya sabemos que a ti te gustan duras
JPV|El PSOE no ha sabido cortarse como partido corrupto que es. En cualquier otr país sería ilegalizado.
Yamuy|@ADELE_ #571 Cerrar @ No_mas_politicos # 544 Ah, usted también defraudó 350000 euros a Hacienda, como el novio de Ayuso? Pues yo no, la verdad. Me encanta ver a la rojosfera tan nerviosa.jajajsjsajaja
Yamuy|@AntonioLuque #581 Cerrar @ conchalote96 # 521 El Banco de España cifra en 60.000 millones el dinero público perdido en el rescate a 14 cajas de ahorros Esas cajas que las dejaron hechas una basura el gobierno del Psoe y a las que Europa mientras gobernaba el Pp las obligó a rescatar para que el sistema financiero no colapsada,creo recordar que en esa época uno de los consejeros de Caja Madrid era el galgo,no???
tienesrazon|@No_mas_politicos #550 Cerrar @ nifacha_niwoke # 527 ufff quisiera decirte algo que pudieras comprender, pero lo veo casi imposible... Ánimo que lo tuyo sea pasajero y no sea crónico. No le hagas caso a @nifacha_niwoke. Es un perroflauta de extrema izquierda haciéndose pasar por no se sabe muy bien qué. En fin, que es tan ridículo el personaje como la persona.
MDEinSPAIN|Una de las principales funciones de FG del estado es la protección de los derechos y libertades de los ciudadanos, la defensa de la legalidad, la protección de los derechos.... Y esto, este trepa nauseabundo ( por eso lo escogió Sánchez y su mafia) de FG se lo ha saltado a la torera. No sólo no ha protegido los derechos de González Amador, sino q los ha vulnerado con premeditación y alevosía, vulnerado, de este modo, los derechos de un ciudadano de a pie. Así q un tipejo así no puede seguir ningún segundo más como FG. Pero es q, encima, se pone chulo el amigo, y a sabiendas del delito q ha cometido, se enroca y ahí sigue, mientras los ciudadanos nos sentimos desprotegidos pq sabemos q este esbirro de Sánchez puede violar nuestros derechos impunemente en cualquier momento.
conmundo|El fontanero del juzgado
conmundo|Único país quee libera violadores Cómo no iba a tener un fiscal fuera de la ley
tienesrazon|@LeopoldoCatovi #551 Cerrar Duerme Pedrito, duérmete ya, que viene la UCO y te llevará. Duerme Pedrito, duérmete ya, que viene Ayuso y te comerá. Tic-tac, tic-tac Oye pues ahora que lo dices, sería una gozada ver los sueños de Pedro Sánchez. Que sueña con Ayuso es seguro, lo que no sé si en plan erótico (que también podría ser, los sueños son así, inesperados) o que está en el Congreso en el atril diciéndole: corrupto corrupto corrupto. Y que le persigue la UCO con las esposas en la mano fijo que también lo sueña, jaja.
conmundo|Y tu registrando tus gallinas sino eres un defraudados Y tu dejando la leña y pasándote a gas sino te multan por antiecologia Y tu pagando la luz y el gas De tu okupa sino te envían a la carcel
ADELE_|Según informan, los servicios sociales se han llevado a los hijos de Fuhrilo. Por lo visto llevaban días sin comer y sin ducharse.
Jony75|@2012pepes #582 Cerrar @ nifacha_niwoke # 527 Es aún más simple. No tiene que elegir nada. Son dos delitos distintos, cada uno con su juicio independiente. Que el fiscal sea culpable del delito o no se hubiera metido en cometerlo no habría influido en nada del juicio del presunto defraudador. Es muy fácil. El fiscal hace su trabajo, no hace política con su cargo, y deja actuar a la justicia. ¿Sabe usted que la Constitución aboga por la independencia judicial? ¿Sabe que esa norma es fundamental en todas las democracias del mundo? ???? Sabes que en España eso es una falacia, ya que este juicio es una intromisión del poder judicial en el poder político? Ya que las pruebas han demostrado que la publicación fue anterior a la nota informativa aclaratoria del fiscal, la cual es legal ya que ya era de ámbito público y mentira que el fiscal le hubiese ofrecido un trato por ser el nota informativa io de ayuso jajajjajaaj
GrahamBenettBlanco|Uno de los esbirros de Al Felón; finalmente acusado de verdad. Al Capone los admiraría.
tienesrazon|@nifacha_niwoke #558 Cerrar @ ADELE_ # 556 mire, lo que yo quiero es que de una vez agradezcamos los gobiernos (de ambos lados) que hemos tenido incluso hasta el día de hoy. Mejorables y con grandes fallos, pero al menos han sido gobiernos que han primado lo social. No tenemos garantizado el de mañana y créame que, tal como viene el asunto, se vislumbra muy peligroso. Con mucho odio y falta a la verdad. Con la posibilidad de perder las cosas que hacen a Europa el mejor lugar del mundo para vivir. Donde aún se prima el respeto al divergente por sobre la opresión manipuladora e interesada de unos pocos. Que te lo digan a ti lo de la falta de la verdad. Un perroflauta haciéndose pasar por un empresario que tiene tropecientas empresas y paga muchos impuestos, jajajaja, pero está sobrado de tiempo y aquí está defendiendo la corrupción del PSOE, muy convincente sí, perroflauta, jaja. Pues anda que no venís tíos de extrema izquierda aquí haciéndoos pasar por cosas de lo más variopintas.
